x;y;index;emptycolumn;Produkt;Firma;Typ;nodesize;Info;Lerninhalte;Lernart;Format;Mobile;webadresse;gesamtzeit;Nuggets;Zeit fuer kleinste UE;Content_oder_Software;Lernweg;Awards;emptycolumn2
;;1;;E Learning;;E Learning;15;E Learning;ka;ka;E Learning;ka;;;ka;;ka;ka;kein;
;;2;;Mobile;;Mobile;10;Mobile;ka;ka;App;ka;Mobile;;ka;;ka;ka;kein;
;;3;;LMS;;LMS;10;LMS;ka;ka;html;ka;LMS;;ka;;ka;ka;kein;
;;4;;Web;;Web;10;Web;ka;ka;html;ka;Web;;ka;;ka;ka;kein;
;;5;;Software;;Software;10;Software;ka;ka;Software;ka;Software;;ka;;ka;ka;kein;
;;6;;VHS-dvv;VHS;Mobile;5;Deutsch als Fremdsprache;Anwenden;formell;html + App;ja;http://a1.vhs-lernportal.de/;ka;nein;18 min;Content;E-Learning by interaction;Delina 2019;
;;7;;VHS-Kurse;VHS;LMS;5;VHS Kurse: Computer - Sprachen - BWL - ect. Webinare, moodle, blended learning;Anwenden;formell;html;nein;www.berliner-vhs.de/tk/;~35 UE;nein;45 min ;Content;E-Learning by distribution;kein;
;;8;;Jix;Time4You;Software;5;Conversational Learning / Chatbot;Anwenden;informell;Software + App;ja;https://www.jix.ai/demos/#escaperoom;ka;ja;ka;Dienstleister;E-Learning by interaction;kein;
;;9;;Consulting;tt-s;Web;5;Microlearning, Softwaretrainings, Webinare;ka;ka;html + App;ja;https://www.tt-s.com/learning/E-Learning/;ka;ja;ka;Dienstleister;E-Learning by distribution;kein;
;;10;;Kyocera Trainingscenter;Kyocera;Web;5;Dokumentenmanagment + Videos + Lernimpulse;ka;formell;html;nein;https://www.kyoceradocumentsolutions.de/index/serviceworld/training_center.html;ka;ka;ka;Content;ka;kein;
;;11;;FestoDidactics;Festo;Web;5;Fortbildung (Werkstoffkunde) + Produktraining;Wissen;formell;html;nein;https://www.festo-didactic.com/de-de/service/Software/;45 pro UE;nein;15 min;Content;E-Learning by distribution;kein;
;;12;;Sitecore Product Training;Sitecore;Web;5;CMS Training;Anwenden;formell;html;nein;https://elearning.sitecore.net/;2 - 20 h;ja;5 - 10 min;beides;E-Learning by distribution;kein;
;;13;;ISIS;TU Berlin Moodle;LMS;5;LMS System der TU Berlin;ka;formell;html;nein;www.isis.tu-berlin.de;ka;ka;ka;Dienstleister;E-Learning by distribution;kein;
;;14;;Inside Online;Inside Online;Mobile;8;LernSoftware, Aufgaben, Ausbildung Versicherungen/Banken;ka;ka;html + App;ja;http://www.inside-online.de/de/banken-versicherungen.html;ka;ka;ka;Dienstleister;Mischform;kein;
;;15;;Vapiano Lernwerlt;Vapiano;Mobile;5;Weiterbildung Gastro;Verstehen;formell;html + App;ja;http://www.inside-online.de/de/banken-versicherungen.html;ka;ja;ka;Content;Mischform;kein;
;;16;;Wissen erLEBEN;Allianz;Mobile;5;Weiterbildung + Ausbildung Versicherungen + Selbsteinschaetzung;Verstehen;formell;html + App;ja;http://www.inside-online.de/de/banken-versicherungen.html;ka;ja;ka;Content;Mischform;kein;
;;17;;Bundesverband Sicherheitstechnik e.V. ;BHE Akademie;LMS;5;Video +  Webinare + Moodle;ka;formell;html;nein;https://www.bhe-elearning.de/;~2h;ka;ka;Content;E-Learning by distribution;kein;
;;18;;Informatik greifbar machen, Forschungsprojekt;RHTW Media Computing Group;Hardware;5;Touchscreen im Konferenztisch;Verstehen;informell;Hardware;nein;https://hci.rwth-aachen.de/tabula;<1h;ka;ka;beides;E-Learning by interaction;kein;
;;19;;Hardware;;Hardware;10;Hardware;ka;ka;Hardware;ka;Hardware;ka;ka;ka;ka;ka;kein;
;;20;;Cyberteachers;Berlitz-Sprachschulen;Web;5;Mitarbeiterschulung Sprachschule Blended per Skype;Anwenden;formell;html;nein;http://www.berlitz.de/de/sprache_lernen/eberlitz/blended-learning/;ka;ka;ka;beides;E-Learning by collaboration;kein;
;;21;;Sprachschulung;Berlitz-Sprachschulen;Mobile;5;Sprache lernen per Gamification;Anwenden;informell;Software + App;ja;http://www.berlitz.de/de/sprache_lernen/eberlitz/E-Learning/;20 UE;nein;30 min;beides;Mischform;kein;
;;22;;IHK Ausbildung;Brainyoo;Software;5;Software mit Digitalen Karteikarten;Wissen;formell;Software + html;nein;https://www.brainyoo.de/;ka;ja;ka;beides;E-Learning by interaction;kein;
;;23;;E-Learninganbieter;Elearning-Manufaktur;Web;5;Digitale Karteikarten + Edutainment  + Selfenhancement + Transfer App;Anwenden;Mischform;html + App;ja;https://elearning-manufaktur.com;ka;ja;ka;Dienstleister;E-Learning by interaction;kein;
;;24;;Everskill;Everskill;Mobile;5;Anbieter Schulungsbegleitung per App + Lernmanagement;Anwenden;formell;App;ja;https://everskill.de/de/;ka;ja;ka;Dienstleister;Mischform;kein;
;;25;;Blink it;Blink it;Mobile;5;Anbieter Schulungsbegleitung, Kurserstellung per App;ka;ka;App;ja;https://www.blink.it/;ka;ja;ka;Dienstleister;Mischform;Lerntec 2019;
;;26;;Snagit + Camtasia;Techsmith;Software;5;Videoreview und Bearbeitung  mit Feedbackfunktion;Anwenden;informell;Software + App;ja;https://www.techsmith.de/;ka;ka;ka;Dienstleister;E-Learning by collaboration;Lerntec 2019;
;;27;;GetAbstract;GetAbstract Inc.;Web;5;Zusammenfassung/Vertonung von Inhalten, Abomodell mit Vorgefertigte Inhalte;Wissen;informell;html;nein;https://www.getabstract.com/de/;ka;ja;ka;beides;E-Learning by distribution;Lerntec 2019;
;;28;;Haufe Akademie;Haufe Akademie;Web;5;Anbieter Weiterbildung Kursgestaltung +  Content;ka;ka;html;nein;https://www.haufe-akademie.de;ka;nein;45-90min;Content;Mischform;Lerntec 2019;
;;29;;Masterplan;Masterplan;Web;5;Anbieter Weiterbildung + Lernumgebung (netflix berufl.Bildung);ka;Mischform;Software + App;ja;https://masterplan.com/die-plattform/;~7h pro Kurs;ja;ka;Dienstleister;E-Learning by distribution;kein;
;;30;;Quizzer;Quizzer Mobile Learning Labs GmbH;Mobile;5;Quiz in Unternehmensumgebung, Gamification;Verstehen;informell;App;ja;https://ml-labs.com/;ka;ja;ka;Dienstleister;E-Learning by collaboration;kein;
